property_id,property_title,rating,review,description
103,Bubblemix,15,"Restriction of Left External Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach","Person boarding or alighting a pick-up truck or van injured in collision with heavy transport vehicle or bus, subsequent encounter"
104,Tanoodle,86,"Dilation of Right Subclavian Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Foreign body in conjunctival sac, right eye, sequela"
105,Jabberbean,31,"Revision of Drainage Device in Right Knee Joint, Open Approach",Encounter for fitting and adjustment of partial artificial left arm
106,Zoozzy,56,"Bypass Bilateral Ureters to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","Other fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
107,Rhynoodle,64,"Fusion of Right Ankle Joint, Percutaneous Endoscopic Approach","Foreign body in left ear, subsequent encounter"
108,Yakitri,55,High Dose Rate (HDR) Brachytherapy of Duodenum using Cesium 137 (Cs-137),"Fracture of unspecified tarsal bone(s) of left foot, initial encounter for open fracture"
109,Twitterwire,17,Compression of Left Lower Extremity using Intermittent Pressure Device,"Unspecified fracture of head of right femur, sequela"
110,Midel,26,"Revision of External Fixation Device in Right Metacarpocarpal Joint, Open Approach",Malignant neoplasm of overlapping sites of cervix uteri
111,Dablist,24,"Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Salter-Harris Type II physeal fracture of right metatarsal, subsequent encounter for fracture with nonunion"
112,Browsetype,42,"Reposition Left Tibia with Intramedullary Internal Fixation Device, Percutaneous Endoscopic Approach",Toxic optic neuropathy
113,Teklist,95,"Extirpation of Matter from Jejunum, Open Approach",Corrosion of unspecified degree of scalp [any part]
114,Wikivu,66,"Bypass Right External Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach",Occupant of heavy transport vehicle injured in other and unspecified transport accidents
115,JumpXS,78,"Destruction of Right Hand Subcutaneous Tissue and Fascia, Open Approach",Observation and evaluation of newborn for suspected metabolic condition ruled out
116,Dabjam,35,"Insertion of Intramedullary Internal Fixation Device into Left Radius, Percutaneous Endoscopic Approach",Cannabis abuse with unspecified cannabis-induced disorder
117,Photobug,66,"Removal of Internal Fixation Device from Right Humeral Shaft, External Approach","Unspecified subluxation of left sternoclavicular joint, sequela"
118,Zoomlounge,51,"Supplement Left Posterior Tibial Artery with Nonautologous Tissue Substitute, Percutaneous Approach","Underdosing of mixed antiepileptics, sequela"
119,Aivee,90,"Bypass Bilateral Ureters to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Toxic effect of unspecified substance, assault"
120,Roomm,2,"Reposition Pancreas, Percutaneous Endoscopic Approach",Procreative counseling and advice using natural family planning
121,Jabbersphere,21,"Excision of Right Hand Tendon, Percutaneous Approach, Diagnostic","Other contact with turkey, initial encounter"
122,Wikido,16,"Removal of Radioactive Element from Face, Percutaneous Approach",Corrosion of first degree of upper back
123,Buzzdog,12,"Excision of Urethra, External Approach, Diagnostic","Displaced transverse fracture of shaft of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
124,Snaptags,72,"Control Bleeding in Right Elbow Region, Open Approach","Injury due to collapse of burning building or structure in uncontrolled fire, initial encounter"
125,Browsedrive,51,"Repair Right Breast, Open Approach",Foreign body in left ear
126,Blogpad,72,"Bypass Left External Iliac Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",Unspecified traumatic spondylolisthesis of fifth cervical vertebra
127,Blogtag,94,Low Dose Rate (LDR) Brachytherapy of Thymus using Cesium 137 (Cs-137),"Nondisplaced comminuted fracture of shaft of ulna, right arm"
128,Wikizz,23,"Supplement Thoracic Vertebral Disc with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Unspecified injury of other blood vessels at forearm level, unspecified arm, sequela"
129,Quimm,100,"Reposition Left Cephalic Vein, Percutaneous Endoscopic Approach",Dislocation of T2/T3 thoracic vertebra
130,Skippad,74,"Supplement Left Femoral Shaft with Synthetic Substitute, Percutaneous Endoscopic Approach","Child sexual abuse, confirmed, sequela"
131,Realfire,27,"Fluoroscopy of Right Pulmonary Vein using High Osmolar Contrast, Guidance","Glycogen storage disease, unspecified"
132,Fanoodle,78,Plain Radiography of Right Vertebral Artery using Other Contrast,Hit or struck by falling object due to accident to watercraft
133,Yacero,42,"Insertion of Infusion Device into Middle Colic Artery, Open Approach","Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
134,Latz,17,"Occlusion of Left Posterior Tibial Artery with Extraluminal Device, Percutaneous Approach",Diseases of Bartholin's gland
135,Janyx,74,"Revision of Spacer in Right Finger Phalangeal Joint, Open Approach","Effusion, wrist"
136,Fivebridge,85,"Drainage of Pancreas, Percutaneous Endoscopic Approach, Diagnostic","Deep vascularization of cornea, bilateral"
137,Voolith,13,"Insertion of Intraluminal Device into Right Colic Artery, Open Approach","Pathological fracture, right fibula, subsequent encounter for fracture with routine healing"
138,Gabtune,34,"Measurement of Products of Conception, Cardiac Rhythm, External Approach","Unspecified injury of right foot, subsequent encounter"
139,Zoonder,70,"Replacement of Right Sphenoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",Intrasphincteric abscess
140,Vitz,75,"Repair Right Orbit, External Approach","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
141,Oyoyo,49,"Restriction of Left Internal Iliac Artery with Extraluminal Device, Open Approach","Adverse effect of macrolides, sequela"
142,Oodoo,27,"Insertion of Intraluminal Device into Left Greater Saphenous Vein, Open Approach","Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in nontraffic accident, initial encounter"
143,Eamia,99,"Drainage of Lower Tooth with Drainage Device, External Approach, Multiple","Unspecified physeal fracture of upper end of unspecified fibula, subsequent encounter for fracture with routine healing"
144,Kimia,33,"Drainage of Left Testis, Percutaneous Approach","Blister (nonthermal), left knee, sequela"
145,Feednation,58,"Excision of Coccygeal Glomus, Percutaneous Approach, Diagnostic",Other specified acquired deformities of right forearm
146,Yamia,46,"Change Other Device in Brain, External Approach","Nondisplaced fracture of proximal phalanx of unspecified great toe, subsequent encounter for fracture with routine healing"
147,Aimbu,66,"Drainage of Left Temporal Bone, Percutaneous Approach","Corrosion of second degree of right hand, unspecified site, sequela"
148,Thoughtbeat,4,"Insertion of Intraluminal Device into Right Basilic Vein, Open Approach","Nondisplaced Type II dens fracture, initial encounter for closed fracture"
149,Fiveclub,31,"Drainage of Right Large Intestine, Via Natural or Artificial Opening, Diagnostic",Displaced fracture of anterior wall of unspecified acetabulum
150,Topicware,47,"Destruction of Right Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach",Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac bypass
151,Voonte,29,"Dilation of Cystic Duct, Percutaneous Approach","Discitis, unspecified, multiple sites in spine"
152,Skyble,4,Computerized Dynamic Posturography Assessment,Burn of unspecified internal organ
153,Jabbertype,78,Computerized Tomography (CT Scan) of Liver and Spleen using Low Osmolar Contrast,Bus occupant (driver) (passenger) injured in other specified transport accidents
154,Avavee,38,"Revision of Contraceptive Device in Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach",Unspecified sequelae of nontraumatic subarachnoid hemorrhage
155,Topiczoom,88,"Revision of Nonautologous Tissue Substitute in Omentum, Percutaneous Approach","Major laceration of greater saphenous vein at hip and thigh level, unspecified leg, sequela"
156,Tagpad,86,"Drainage of Left Foot with Drainage Device, Open Approach",Burns involving 80-89% of body surface with 50-59% third degree burns
157,Trupe,40,"Restriction of Left External Carotid Artery with Bioactive Intraluminal Device, Percutaneous Endoscopic Approach",Corrosion of third degree of female genital region
158,Rooxo,98,"Bypass Right Pleural Cavity to Left Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach",MERRF syndrome
159,Thoughtblab,22,"Destruction of Lung Lingula, Percutaneous Endoscopic Approach","Displaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
160,Kaymbo,79,"Occlusion of Right Greater Saphenous Vein with Intraluminal Device, Open Approach","Poisoning by cocaine, undetermined"
161,Teklist,72,"Bypass Left Common Iliac Artery to Right Common Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Vitreous membranes and strands, left eye"
162,Aimbu,74,"Inspection of Kidney, Via Natural or Artificial Opening Endoscopic",Infection of obstetric surgical wound
163,Layo,59,"Alteration of Left Lower Leg with Synthetic Substitute, Open Approach",Sprain of other specified parts of thorax
164,Quire,24,"Removal of Autologous Tissue Substitute from Left Carpal, Percutaneous Endoscopic Approach",Idiopathic aseptic necrosis of unspecified humerus
165,Eamia,80,"Introduction of Local Anesthetic into Male Reproductive, Via Natural or Artificial Opening",Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics
166,Quatz,76,"Removal of Internal Fixation Device from Left Metatarsal-Phalangeal Joint, External Approach","Dislocation of other carpometacarpal joint of unspecified hand, initial encounter"
167,Leenti,35,"Replacement of Right Sphenoid Bone with Synthetic Substitute, Open Approach",Aspiration pneumonitis due to anesthesia during labor and delivery
168,Bubbletube,63,"Removal of Monitoring Device from Pleura, Percutaneous Approach",Takotsubo syndrome
169,Zoomzone,20,"Destruction of Left Temporal Artery, Percutaneous Approach","Unspecified pedal cyclist injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
170,Reallinks,83,"Reposition Left Shoulder Joint with Internal Fixation Device, External Approach",Other disorders affecting eyelid function
171,Eabox,98,"Bypass Cecum to Transverse Colon with Synthetic Substitute, Open Approach",Primary dysmenorrhea
172,Browsecat,18,Removal of Pressure Dressing on Left Inguinal Region,"Driver of three-wheeled motor vehicle injured in collision with other motor vehicles in traffic accident, sequela"
173,Flipbug,21,"Removal of Nonautologous Tissue Substitute from Kidney, Open Approach","Idiopathic cysts of iris, ciliary body or anterior chamber, left eye"
174,Kwinu,94,"Drainage of Left Lower Leg with Drainage Device, Percutaneous Endoscopic Approach","Laceration without foreign body of other specified part of neck, initial encounter"
175,Topicstorm,26,"Supplement Left Upper Arm Muscle with Autologous Tissue Substitute, Open Approach","Underdosing of skeletal muscle relaxants [neuromuscular blocking agents], initial encounter"
176,Ainyx,12,"Supplement Left Fallopian Tube with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","Food in pharynx causing other injury, initial encounter"
177,Youspan,16,"Removal of Drainage Device from Lumbosacral Disc, Open Approach","Corrosions of other specified parts of right eye and adnexa, initial encounter"
178,Skinte,82,"Dilation of Hepatic Artery with Drug-eluting Intraluminal Device, Percutaneous Approach","Acute follicular conjunctivitis, unspecified eye"
179,Meevee,12,"Bypass Pelvic Cavity to Pelvic Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach","Toxic effect of other specified noxious substances eaten as food, undetermined"
180,Meembee,18,"Drainage of Spinal Canal with Drainage Device, Percutaneous Approach","Infective myositis, right ankle"
181,Aivee,16,"Computerized Tomography (CT Scan) of Brain using Other Contrast, Unenhanced and Enhanced",Non-pressure chronic ulcer of right ankle with unspecified severity
182,Photojam,62,"Occlusion of Descending Colon, Percutaneous Endoscopic Approach","Puncture wound with foreign body of unspecified elbow, sequela"
183,Midel,50,"Excision of Brain, Open Approach, Diagnostic","Displaced fracture of distal phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing"
184,Devbug,83,"Release Aortic Lymphatic, Percutaneous Endoscopic Approach",Frostbite with tissue necrosis of unspecified knee and lower leg
185,Yambee,66,"Removal of Drainage Device from Right Temporomandibular Joint, External Approach","Maternal care for excessive fetal growth, second trimester, fetus 3"
186,Thoughtstorm,13,"Dilation of Right Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Poisoning by emollients, demulcents and protectants, accidental (unintentional), subsequent encounter"
187,Topdrive,71,"Excision of Right Shoulder Bursa and Ligament, Open Approach",Other specified injury of superior vena cava
188,Eidel,57,"Dilation of Right Radial Artery with Two Drug-eluting Intraluminal Devices, Open Approach","Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
189,Jayo,90,"Reposition Stomach, Open Approach",Teething syndrome
190,Dabfeed,19,"Drainage of Cervical Vertebra, Open Approach","Accidental malfunction of hunting rifle, initial encounter"
191,Cogilith,56,"Supplement Sigmoid Colon with Autologous Tissue Substitute, Open Approach","Nondisplaced segmental fracture of shaft of left tibia, sequela"
192,Bubblemix,87,Immobilization of Right Toe using Splint,"Nondisplaced fracture of fifth metatarsal bone, left foot, initial encounter for open fracture"
193,Twitterworks,7,"Dilation of Left Vertebral Artery with Intraluminal Device, Percutaneous Approach","Poisoning by, adverse effect of and underdosing of antiepileptics"
194,Vimbo,42,"Drainage of Median Nerve, Percutaneous Endoscopic Approach",Abnormal jaw closure
